Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753,invalid,2,0.226,8 4,132,90,0.056,0.049,0.031,0.001,0.02,59768
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298,invalid,2,0.318,10 3,245,197,0.119,0.097,0.053,0.001,0.022,59744
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528,invalid,2,0.35,16 9,234,171,0.105,0.104,0.046,0.002,0.028,59616
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2,valid,2,0.029,1,7,0,0,0.003,0.004,0,0.001,59732
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e1_2316,valid,2,0.028,1,7,0,0,0.003,0.004,0,0.001,61720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e1_2644,valid,2,0.028,1,7,0,0,0.003,0.004,0,0.001,59684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e2_3580,valid,2,0.028,1,9,2,0.001,0.003,0.004,0,0.001,59712
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e3_5972,valid,2,0.029,1,9,2,0.001,0.003,0.005,0,0.001,61632
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e2_4481,valid,2,0.03,1,9,2,0.002,0.004,0.004,0,0.001,59680
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_2_e7_25_e8_3171,valid,2,0.028,1,7,0,0,0.003,0.004,0,0.001,59752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3,valid,2,0.039,1,14,7,0.004,0.005,0.007,0,0.001,59772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783,valid,2,0.043,1,14,7,0.005,0.006,0.008,0,0.001,61864
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e1_3755,valid,2,0.034,1,12,5,0.003,0.004,0.008,0,0.001,59604
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e2_158,valid,2,0.035,1,14,7,0.004,0.005,0.007,0,0.001,59556
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e3_511,valid,2,0.034,1,12,5,0.003,0.005,0.008,0,0.001,59620
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e2_5343_e1_988,valid,2,0.034,1,14,7,0.004,0.004,0.006,0,0.001,59716
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_3846,valid,2,0.032,1,14,7,0.004,0.004,0.007,0,0.001,59820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e1_2288,valid,2,0.037,1,14,7,0.004,0.005,0.008,0,0.001,61860
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e2_3135,valid,2,0.037,1,14,7,0.004,0.004,0.007,0,0.001,59808
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6,valid,2,0.034,1,12,5,0.004,0.005,0.003,0,0.001,57564
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_6_e7_5046_e7_3623,valid,2,0.027,1,7,0,0.001,0.003,0.002,0,0.001,57736
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7,valid,2,0.042,2,20,10,0.005,0.007,0.004,0,0.002,59532
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e2_5844,valid,2,0.041,2,20,10,0.005,0.007,0.004,0,0.002,57452
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e2_2872_e3_2640,valid,2,0.041,2,20,10,0.006,0.007,0.005,0,0.002,59780
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_7_e7_3157_e2_2082,valid,2,0.059,3,30,17,0.01,0.01,0.007,0.001,0.002,57556
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9,valid,2,0.043,2,24,14,0.006,0.006,0.004,0,0.002,61544
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843,valid,2,0.044,2,22,12,0.006,0.007,0.005,0.001,0.002,59692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e1_5434,valid,2,0.03,1,12,5,0.004,0.005,0.003,0,0.001,57692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e2_1145,valid,2,0.029,1,12,5,0.003,0.004,0.003,0,0.001,57732
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e3_5316,valid,2,0.029,1,12,5,0.003,0.004,0.003,0,0.001,57496
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e7_2225,valid,2,0.044,2,22,12,0.006,0.008,0.004,0,0.002,57508
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all,valid,2,0.077,4,33,17,0.011,0.013,0.012,0.001,0.003,61808
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e1_1759,valid,2,0.096,5,41,22,0.015,0.017,0.013,0,0.004,61596
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e2_267,valid,2,0.075,4,33,17,0.01,0.012,0.01,0.001,0.003,61680
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e3_3628,valid,2,0.075,4,33,17,0.011,0.013,0.011,0,0.004,61540
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4037,valid,2,0.077,4,31,15,0.01,0.011,0.013,0,0.003,61812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104,valid,2,0.087,4,31,15,0.013,0.016,0.013,0,0.004,61804
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e1_6205,valid,2,0.102,4,33,17,0.013,0.021,0.015,0.001,0.005,61764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e2_3308,valid,2,0.078,4,35,19,0.012,0.014,0.011,0,0.004,61548
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e3_2607,valid,2,0.092,4,31,15,0.011,0.016,0.011,0.001,0.004,61596
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e1_1318,valid,2,0.075,4,31,15,0.01,0.012,0.012,0.001,0.003,61820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e2_1089,valid,2,0.077,4,33,17,0.01,0.013,0.01,0,0.003,61772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e4_1791,valid,2,0.094,5,41,22,0.013,0.015,0.015,0.001,0.004,61768
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e5_1536,valid,2,0.075,4,31,15,0.01,0.011,0.01,0,0.003,63900
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_5957,valid,2,0.092,5,43,24,0.015,0.018,0.012,0,0.004,61712
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1,valid,2,0.019,1,7,0,0,0.002,0.003,0,0.001,37072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e2_1853,valid,2,0.02,1,7,0,0,0.003,0.003,0,0.001,36888
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10,valid,2,0.019,1,12,5,0.002,0.003,0.002,0,0.001,35052
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10_e7_919_e2_3192,valid,2,0.022,1,12,5,0.003,0.004,0.003,0,0.001,35040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_2,valid,2,0.023,1,12,5,0.003,0.004,0.005,0,0.001,36932
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3,valid,2,0.031,2,22,12,0.007,0.006,0.004,0,0.001,39024
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236,valid,2,0.031,2,22,12,0.006,0.007,0.003,0,0.001,37212
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e1_2305,valid,2,0.03,2,22,12,0.006,0.007,0.004,0,0.001,35048
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e2_1058,valid,2,0.029,2,22,12,0.006,0.007,0.003,0,0.001,34960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e7_3681,valid,2,0.029,2,22,12,0.006,0.006,0.004,0,0.001,37068
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e1_2375,invalid,2,0.4,12 5,417,366,0.248,0.168,0.095,0.002,0.018,36752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e4_1464,invalid,2,0.355,12 5,421,370,0.234,0.15,0.092,0.002,0.014,39068
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5,valid,2,0.022,1,12,5,0.002,0.003,0.003,0,0.001,36868
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e1_2552_e7_1169,valid,2,0.031,2,22,12,0.006,0.007,0.003,0,0.001,34924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2229,valid,2,0.031,2,22,12,0.006,0.007,0.004,0,0.001,34776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e1_2678,valid,2,0.022,1,12,5,0.003,0.004,0.002,0,0.001,36912
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e2_1492,valid,2,0.021,1,12,5,0.002,0.003,0.003,0,0.001,35040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e3_1882,valid,2,0.026,1,12,5,0.002,0.004,0.003,0.001,0.001,34892
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e7_3594,valid,2,0.03,2,22,12,0.006,0.007,0.003,0,0.001,34892
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8,valid,2,0.022,1,11,4,0.002,0.003,0.002,0,0.001,36888
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711,valid,2,0.021,1,11,4,0.002,0.003,0.002,0,0.001,35088
