Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_1,valid,2,0.014,1,12,5,0.002,0.003,0.002,0,0,32288
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123,valid,2,0.025,3,23,10,0.005,0.007,0.004,0,0.001,33152
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e7_837_e7_1262,valid,2,0.025,3,23,10,0.006,0.008,0.003,0,0.001,32984
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e7_856,valid,2,0.022,3,15,2,0.002,0.004,0.003,0,0.001,33168
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e8_953,valid,2,0.026,3,23,10,0.005,0.006,0.004,0,0.001,32712
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e8_953_e7_1465,valid,2,0.024,3,13,0,0.002,0.005,0.003,0,0.001,33384
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e8_953_e8_941,valid,2,0.024,3,23,10,0.005,0.006,0.004,0,0.001,31964
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2,valid,2,0.014,1,9,2,0.001,0.002,0.001,0,0,32280
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2_e8_1118_e7_1043,valid,2,0.012,1,7,0,0,0.002,0.001,0,0,31840
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2_e8_1118_e8_1177,valid,2,0.015,1,9,2,0.001,0.003,0.002,0,0,32164
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2_e8_656,valid,2,0.013,1,7,0,0,0.002,0.001,0,0,32032
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3,valid,2,0.015,1,11,4,0.002,0.003,0.002,0,0,31996
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e7_1444_e7_638,valid,2,0.015,1,11,4,0.002,0.003,0.002,0,0,32284
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e7_425,valid,2,0.015,1,11,4,0.002,0.003,0.002,0,0,31964
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e8_1329_e7_1062,valid,2,0.015,1,11,4,0.002,0.003,0.002,0,0,32124
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e8_1329_e8_320,valid,2,0.015,1,11,4,0.002,0.003,0.002,0,0,32124
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e8_1708,valid,2,0.015,1,11,4,0.002,0.003,0.002,0,0,32004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4,valid,2,0.016,1,15,8,0.003,0.003,0.002,0,0,31952
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4_e8_420_e7_572,valid,2,0.015,1,15,8,0.003,0.003,0.002,0,0,32252
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4_e8_420_e8_1525,valid,2,0.016,1,15,8,0.003,0.003,0.002,0,0,32284
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4_e8_974,valid,2,0.017,1,15,8,0.003,0.004,0.002,0,0.001,32316
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6,valid,2,0.024,3,23,10,0.006,0.007,0.003,0,0.001,32604
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6_e7_938_e2_1012,valid,2,0.023,3,18,5,0.003,0.006,0.003,0,0.001,32768
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6_e8_1147_e2_1326,valid,2,0.026,3,27,14,0.007,0.008,0.004,0,0.001,33268
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all,valid,2,0.032,4,34,18,0.009,0.01,0.005,0.001,0.002,32920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all_e7_907,valid,2,0.031,4,32,16,0.008,0.009,0.005,0,0.002,32828
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all_e7_907_e7_1363,valid,2,0.026,4,22,6,0.004,0.007,0.004,0.001,0.002,32904
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all_e8_251,valid,2,0.033,4,34,18,0.009,0.01,0.004,0,0.002,32800
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/_6counters_e8_371_e2_80,valid,2,0.008,0,4,0,0,0.001,0.001,0,0,31088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_1_e2_3,valid,2,0.015,1,15,8,0.004,0.005,0.002,0,0,32216
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_1_e3_389,valid,2,0.015,1,10,3,0.003,0.004,0.001,0,0,32440
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_1_e3_389_e4_294,valid,2,0.015,1,15,8,0.004,0.005,0.002,0,0,32276
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_1_e3_389_e5_5,valid,2,0.015,1,10,3,0.002,0.004,0.002,0,0,32532
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_1_e7_217_e2_352,valid,2,0.023,3,19,6,0.005,0.008,0.002,0,0.001,32460
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_1_e7_217_e3_132,valid,2,0.023,3,20,7,0.007,0.008,0.002,0,0.001,32516
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_2_e2_63,valid,2,0.019,2,14,4,0.004,0.006,0.002,0,0.001,32404
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_2_e3_329_e4_1,valid,2,0.018,2,14,4,0.004,0.006,0.002,0,0.001,32264
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_2_e3_329_e5_124,valid,2,0.019,2,16,6,0.005,0.006,0.002,0,0.001,32168
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_2_e3_99,valid,2,0.018,2,14,4,0.004,0.005,0.002,0,0.001,32024
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_2_e7_145_e2_169,valid,2,0.023,3,19,6,0.006,0.008,0.002,0,0.001,32592
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_2_e7_145_e3_222,valid,2,0.027,4,24,8,0.007,0.009,0.003,0.001,0.001,32460
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_3_e2_63,valid,2,0.016,1,11,4,0.003,0.005,0.001,0,0,32544
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_3_e3_207,valid,2,0.015,1,11,4,0.002,0.004,0.001,0,0.001,32208
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_3_e3_442_e4_165,valid,2,0.014,1,11,4,0.003,0.004,0.001,0,0,32608
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_3_e3_442_e5_260,valid,2,0.015,1,11,4,0.003,0.004,0.001,0,0,32424
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_3_e7_334_e3_42,valid,2,0.031,4,33,17,0.011,0.012,0.004,0,0.001,32408
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ex8,invalid,2,0.01,0,5,0,0,0.001,0.001,0,0,32636
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ex8_e7_74,invalid,2,0.01,0,5,0,0,0.001,0.001,0,0,32656
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ex8_e7_74_e7_740,invalid,2,0.009,0,5,0,0,0.001,0.001,0,0,32752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ex8_e7_74_e8_302,invalid,2,0.009,0,5,0,0,0.001,0.001,0,0,32600
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ex8_e8_220,invalid,2,0.011,0,5,0,0,0.001,0.001,0,0,32424
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ex8_e8_220_e7_249,invalid,2,0.01,0,5,0,0,0.001,0.001,0,0,32784
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_1,valid,2,0.032,3,20,7,0.004,0.007,0.004,0,0.002,36892
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_1_e7_1669,valid,2,0.036,3,24,11,0.006,0.008,0.004,0,0.002,36988
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_3,valid,2,0.029,2,18,8,0.005,0.007,0.003,0,0.001,38912
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_3_e7_1312_e8_1916,valid,2,0.029,2,18,8,0.006,0.007,0.003,0,0.001,39188
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_3_e8_1703,valid,2,0.03,2,18,8,0.007,0.007,0.003,0,0.001,39172
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_3_e8_1703_e8_2560,valid,2,0.028,2,18,8,0.005,0.006,0.003,0,0.002,38776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_4,valid,2,0.029,2,20,10,0.005,0.006,0.003,0,0.001,41248
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_4_e7_1775_e7_3320,valid,2,0.029,2,17,7,0.005,0.007,0.003,0,0.001,39100
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_5,valid,2,0.028,2,15,5,0.004,0.006,0.003,0,0.001,38936
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_5_e7_3307,valid,2,0.027,2,17,7,0.004,0.005,0.003,0,0.001,39080
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_6,valid,2,0.028,2,20,10,0.005,0.006,0.004,0,0.001,38964
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_6_e7_1096_e7_2688,valid,2,0.027,2,15,5,0.003,0.006,0.003,0,0.001,38936
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_7_e2_2724_e7_524,valid,2,0.078,6,56,34,0.019,0.026,0.009,0.001,0.004,38992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_7_e3_59_e7_2122,valid,2,0.074,6,54,32,0.018,0.022,0.009,0.001,0.004,39240
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_7_e7_3176,valid,2,0.076,6,54,32,0.018,0.024,0.009,0.001,0.004,41112
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_7_e7_3176_e1_2924,valid,2,0.082,7,60,35,0.02,0.028,0.009,0.001,0.004,38908
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_7_e8_2126_e7_78,valid,2,0.064,6,39,17,0.012,0.019,0.007,0.001,0.004,39136
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_all,valid,2,0.065,6,52,30,0.017,0.018,0.009,0.001,0.004,39156
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_all_e1_2706_e7_1776,valid,2,0.071,6,46,24,0.015,0.02,0.008,0.001,0.005,40992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_all_e2_1117_e7_553,valid,2,0.069,6,46,24,0.014,0.02,0.008,0.001,0.004,41016
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_all_e3_557_e7_3464,valid,3,0.104,1 0,105,73,0.035,0.038,0.013,0.001,0.006,43084
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_all_e7_591,valid,2,0.067,6,39,17,0.012,0.02,0.007,0.001,0.004,39080
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/ticket3i_all_e8_505_e7_2450,valid,2,0.076,7,47,22,0.015,0.023,0.009,0.001,0.005,43216
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/traffic,valid,2,0.021,3,26,13,0.007,0.008,0.003,0,0.001,32440
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/peterson_1,valid,2,0.041,2,22,12,0.007,0.007,0.005,0,0.002,57472
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/peterson_2,valid,2,0.04,2,20,10,0.005,0.007,0.004,0,0.002,57468
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/peterson_3,valid,2,0.028,1,12,5,0.003,0.004,0.003,0,0.001,57728
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/peterson_vt,invalid,2,0.247,9 5,171,126,0.07,0.062,0.042,0.001,0.017,61876
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/readwrit,valid,2,0.025,1,10,3,0.003,0.004,0.004,0,0.001,32600
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_1,valid,2,0.037,2,22,12,0.007,0.007,0.004,0,0.001,55456
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_10_e7_106_e7_2564,valid,2,0.022,1,7,0,0,0.003,0.002,0,0.001,53360
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_2,valid,2,0.045,3,25,12,0.007,0.008,0.004,0.001,0.002,55448
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_5,valid,2,0.038,2,22,12,0.008,0.009,0.004,0,0.002,53556
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/rtp_5_e7_3972,valid,2,0.028,1,12,5,0.003,0.005,0.003,0,0.001,55620
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_1_e7_1621,invalid,2,0.093,5 4,78,44,0.023,0.031,0.014,0.001,0.009,33444
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_4,invalid,2,0.046,2 1,34,13,0.006,0.012,0.007,0,0.005,33052
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_4_e7_2197,invalid,2,0.082,4 3,61,32,0.018,0.027,0.011,0,0.008,33012
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_5,invalid,2,0.073,2 1,61,36,0.02,0.025,0.011,0,0.007,33304
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_6,invalid,3,0.346,7 4 2,301,244,0.177,0.156,0.061,0.001,0.024,35400
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/protocol/swimmingpool_7,invalid,4,0.427,10 9 7 4,556,477,0.273,0.199,0.089,0.001,0.031,35516
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_1,valid,2,0.027,2,20,10,0.005,0.007,0.002,0,0.001,32336
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_1_e7_184_e3_299,valid,2,0.025,3,23,10,0.006,0.008,0.003,0.001,0.001,32336
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e2_695,valid,2,0.016,1,14,7,0.003,0.004,0.002,0,0,32372
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e8_33_e2_1010,valid,2,0.015,1,14,7,0.003,0.004,0.002,0,0,32320
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4,valid,2,0.02,2,20,10,0.005,0.006,0.002,0,0.001,32408
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4_e3_57_e4_1047,valid,2,0.014,1,12,5,0.002,0.003,0.002,0,0,32468
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4_e3_57_e6_784,valid,2,0.022,2,20,10,0.005,0.006,0.003,0,0.001,32336
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4_e7_592,valid,2,0.019,2,16,6,0.004,0.006,0.002,0,0.001,32312
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4_e7_592_e7_265,valid,2,0.02,2,18,8,0.004,0.005,0.002,0,0.001,31944
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4_e8_118,valid,2,0.021,2,20,10,0.005,0.006,0.003,0,0.001,32344
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_4_e8_118_e7_178,valid,2,0.018,2,15,5,0.003,0.005,0.002,0,0.001,32340
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e2_405_e2_1083,invalid,2,0.268,8 1,325,276,0.153,0.143,0.042,0.001,0.014,34748
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e2_405_e3_473,invalid,2,0.269,8 1,325,276,0.15,0.142,0.043,0.001,0.015,34984
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e2_405_e8_1055,invalid,2,0.291,8 1,325,276,0.164,0.153,0.048,0.001,0.015,34968
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e3_11_e1_429,invalid,2,0.36,8 1,381,332,0.213,0.185,0.061,0.001,0.016,35524
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e3_11_e5_24,invalid,2,0.545,8 1,381,332,0.359,0.291,0.107,0.003,0.018,35496
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e3_661,invalid,2,0.411,8 1,381,332,0.258,0.213,0.077,0.002,0.017,35260
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e7_244_e2_693,invalid,2,0.306,8 1,309,260,0.184,0.156,0.054,0.001,0.015,34812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_5_e7_244_e3_1071,invalid,2,0.413,9 1,372,319,0.23,0.206,0.072,0.001,0.025,35460
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e2_589_e2_506,invalid,2,0.276,12 3,354,295,0.15,0.139,0.045,0.002,0.016,35088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e2_589_e3_349,invalid,2,0.322,11 2,366,310,0.182,0.16,0.056,0.002,0.018,35080
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e2_893,invalid,2,0.301,12 3,354,295,0.165,0.145,0.052,0.002,0.017,35004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e3_294_e1_956,invalid,2,0.376,11 2,393,335,0.223,0.196,0.067,0.002,0.02,35432
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e3_294_e3_47,invalid,2,0.398,11 2,393,335,0.22,0.199,0.071,0.002,0.024,35456
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e3_294_e5_979,invalid,2,0.439,11 2,393,335,0.259,0.225,0.081,0.002,0.021,35608
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/cd_e7_621_e7_669,invalid,5,0.179,7 4 3 2 1,310,222,0.088,0.076,0.029,0.001,0.02,33468
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/cd_e7_8,invalid,2,0.147,8 0,214,165,0.07,0.068,0.022,0.001,0.011,34064
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/hysteresis_1,valid,2,0.012,0,4,0,0,0.001,0.002,0,0,31020
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e1_1116_e3_287,invalid,2,1.535,27 11,1362,1260,1.14,0.924,0.25,0.003,0.054,42896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e2_704_e3_76,invalid,4,4.792,26 20 17 9,4253,4056,3.929,3.029,0.756,0.005,0.229,97152
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMER_1,valid,2,0.017,1,16,9,0.004,0.004,0.002,0,0.001,33244
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMER_2,valid,2,0.016,1,15,8,0.004,0.004,0.002,0,0,32312
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMER_3,valid,2,0.015,1,7,0,0.001,0.003,0.001,0,0.001,32132
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMER_all,valid,2,0.023,2,20,10,0.005,0.006,0.003,0,0.001,32708
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/speed_e7_207,valid,2,0.009,0,4,0,0,0.001,0.001,0,0,31096
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/speed_e7_207_e7_538,valid,2,0.008,0,4,0,0,0.001,0.001,0,0,31080
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/speed_e7_207_e8_507,valid,2,0.009,0,4,0,0,0.001,0.001,0,0,31064
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/speed_e8_649,valid,2,0.009,0,4,0,0,0.001,0.001,0,0,31016
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/speed_e8_649_e7_709,valid,2,0.012,0,4,0,0,0.001,0.001,0,0,31136
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave02,valid,2,0.021,0,4,0,0,0.005,0.007,0,0,91196
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave15,valid,2,0.021,0,4,0,0,0.005,0.006,0,0,84792
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave16,valid,2,0.021,0,4,0,0,0.005,0.006,0,0,85028
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr1,valid,2,0.288,0,4,0,0,0.003,0.225,0,0,183300
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr1_e4_23904_e4_2384,valid,2,0.12,0,4,0,0,0.003,0.054,0,0,185456
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1,valid,2,0.048,1,13,5,0.003,0.003,0.011,0,0.002,57664
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e1_14612_e1_268_e7_501,valid,2,0.052,1,13,5,0.003,0.003,0.012,0,0.002,57672
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370,valid,2,0.086,2,23,12,0.01,0.007,0.023,0,0.003,57764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e1_3184_e7_1888,valid,2,0.075,2,23,12,0.008,0.006,0.017,0,0.002,57532
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e1_5070,valid,2,0.073,2,24,13,0.009,0.005,0.018,0,0.002,59848
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e2_1997,valid,2,0.097,2,24,13,0.008,0.006,0.045,0,0.002,57540
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409,valid,2,0.108,2,23,12,0.009,0.007,0.049,0,0.002,57568
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881,valid,2,0.052,1,13,5,0.003,0.003,0.011,0,0.002,57764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e7_3162_e7_3528,invalid,2,107.089,20 9,515,430,95.237,0.255,106.322,0.006,0.065,423632
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_6,valid,2,0.048,1,12,4,0.002,0.004,0.01,0,0.002,57752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_6_e7_5046_e7_3623,valid,2,0.047,1,8,0,0,0.002,0.008,0,0.002,57612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_8,valid,2,0.035,1,12,4,0.003,0.003,0.006,0,0.001,37048
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_8_e2_1711,valid,2,0.035,1,12,4,0.003,0.003,0.006,0,0.001,35128
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_8_e2_1711_e1_1489,valid,2,0.049,1,12,4,0.004,0.003,0.007,0,0.001,34804
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_8_e2_1711_e2_2673,valid,2,0.036,1,12,4,0.003,0.003,0.006,0,0.001,34928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_8_e2_1711_e3_1753,valid,2,0.037,1,12,4,0.002,0.003,0.006,0,0.001,35072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_9,valid,2,0.166,2,24,13,0.052,0.007,0.121,0,0.002,38104
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_9_e7_170_e3_3647,valid,2,0.321,2,27,16,0.157,0.008,0.277,0,0.002,38368
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_1,valid,2,0.051,2,16,5,0.004,0.005,0.012,0,0.002,39076
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_5,valid,2,0.049,2,16,5,0.003,0.005,0.01,0,0.002,38908
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_5_e7_692_e7_2865,valid,2,0.047,2,11,0,0.001,0.004,0.009,0,0.002,41120
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_2,valid,2,0.026,1,12,4,0.002,0.002,0.005,0,0.001,31812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i3_e1_447,invalid,2,0.918,2 1,31,9,0.006,0.008,0.871,0,0.006,44776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i3_e1_447_e3_1180,valid,2,1.975,2,20,9,0.007,0.005,1.947,0,0.001,44764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i3_e1_447_e7_2194,invalid,2,1.011,2 1,31,9,0.011,0.013,0.935,0.001,0.006,43684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_1,valid,2,0.041,1,13,5,0.003,0.003,0.016,0,0.001,32932
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_1_e2_982_e7_492,valid,2,0.046,2,18,7,0.005,0.005,0.014,0,0.002,33920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_1_e3_1884_e7_1875,valid,2,0.031,1,8,0,0,0.002,0.007,0,0.001,32648
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_1,valid,2,0.026,1,13,5,0.002,0.002,0.004,0,0.001,32068
