Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e7_3681,valid,2,0.032,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0,0.001,9,5,8,3,0,0,N/A,4,3,N/A,0.819,0.691,37000
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e1_2375,invalid,2,0.24,10 4,182,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.087,0.058,0.005,0.013,170,149,165,22,0,0,N/A,31,10,N/A,4.634,1.614,37144
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e4_1464,invalid,2,0.249,10 4,181,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.091,0.06,0.006,0.013,170,149,165,23,0,0,N/A,31,10,N/A,4.625,1.614,37064
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5,valid,2,0.027,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.653,0.391,34948
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e1_2552_e7_1169,valid,2,0.028,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.003,0.001,0.001,9,5,8,2,0,0,N/A,4,3,N/A,0.747,0.619,34988
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2229,valid,2,0.03,2,17,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.004,0.001,0.001,9,5,8,1,0,0,N/A,4,3,N/A,0.747,0.619,37136
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e1_2678,valid,2,0.02,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.653,0.391,34964
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e2_1492,valid,2,0.024,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.653,0.391,34928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e3_1882,valid,2,0.022,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.653,0.391,37036
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e7_3594,valid,2,0.044,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.004,0.001,0.002,7,4,7,1,0,0,N/A,3,3,N/A,0.736,0.619,35092
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8,valid,2,0.02,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,0,2,0,0,0,N/A,2,1,N/A,0.652,0.494,35136
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711,valid,2,0.019,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,0,2,0,0,0,N/A,2,1,N/A,0.652,0.494,35208
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e1_1489,valid,2,0.02,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,0,2,0,0,0,N/A,2,1,N/A,0.652,0.494,37204
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e2_2673,valid,2,0.029,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0,0.001,4,0,2,0,0,0,N/A,2,1,N/A,0.652,0.494,37116
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e3_1753,valid,2,0.02,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0.001,4,0,2,0,0,0,N/A,2,1,N/A,0.652,0.494,34932
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_9,valid,2,0.03,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0.001,5,3,5,2,0,0,N/A,2,2,N/A,0.779,0.681,35032
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_9_e7_170_e3_3647,valid,2,0.028,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.003,0,0.001,5,3,5,2,0,0,N/A,2,2,N/A,0.779,0.681,35232
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3,valid,3,0.076,1 0,56,0,0,0,N/A,N/A,N/A,N/A,N/A,0.021,0.013,0.002,0.005,36,20,28,4,0,0,N/A,10,7,N/A,1.503,1.336,37208
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e2_2392,valid,3,0.092,1 0,56,0,0,0,N/A,N/A,N/A,N/A,N/A,0.025,0.014,0.002,0.006,36,20,28,4,0,0,N/A,10,7,N/A,1.503,1.336,36960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e1_3235,valid,3,0.143,1 0,56,0,0,0,N/A,N/A,N/A,N/A,N/A,0.043,0.025,0.003,0.014,36,20,28,4,0,0,N/A,10,7,N/A,1.503,1.336,39256
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e2_2689,valid,3,0.098,1 0,54,0,0,0,N/A,N/A,N/A,N/A,N/A,0.023,0.016,0.002,0.008,37,18,24,5,0,0,N/A,9,6,N/A,1.395,1.231,37072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e2_2952,valid,3,0.121,2 0,74,0,0,0,N/A,N/A,N/A,N/A,N/A,0.034,0.021,0.002,0.01,50,31,39,3,0,0,N/A,12,8,N/A,1.566,1.38,39004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e1_1979,invalid,2,0.425,11 5,241,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.167,0.092,0.01,0.023,238,208,231,39,0,0,N/A,39,15,N/A,5.722,2.096,37184
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e4_897,invalid,2,0.455,15 7,286,0,0,0.002,N/A,N/A,N/A,N/A,N/A,0.173,0.097,0.008,0.022,311,273,300,73,0,0,N/A,51,18,N/A,6.598,2.414,37220
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_all,valid,2,0.049,4,26,0,0,0,N/A,N/A,N/A,N/A,N/A,0.01,0.007,0.001,0.003,13,3,9,1,0,0,N/A,7,4,N/A,1.438,1.249,36960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e2_3220,valid,2,0.054,4,26,0,0,0,N/A,N/A,N/A,N/A,N/A,0.012,0.008,0.001,0.003,13,3,9,1,0,0,N/A,7,4,N/A,1.438,1.249,39348
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_all_e2_2924_e1_768,valid,2,0.049,4,26,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.007,0.001,0.003,13,3,9,1,0,0,N/A,7,4,N/A,1.438,1.249,39040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e7_998,invalid,2,0.234,13 6,151,0,0,0,N/A,N/A,N/A,N/A,N/A,0.105,0.031,0.002,0.012,223,208,230,109,0,0,N/A,18,14,N/A,2.615,2.02,34992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b,valid,2,0.023,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.003,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.813,0.813,35040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1139_e2_2893,valid,2,0.023,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.003,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.813,0.813,39304
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b_e2_3049_e1_946,valid,2,0.021,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.003,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.813,0.813,36964
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e6_1974,valid,2,0.025,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.813,0.813,37040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_rt,valid,2,0.027,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.004,0,0.001,4,1,3,0,0,0,N/A,2,1,N/A,1.084,0.808,39092
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e2_3353,valid,2,0.032,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.006,0.001,0.001,4,1,3,0,0,0,N/A,2,1,N/A,1.084,0.808,37044
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e1_1455,valid,2,0.025,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.004,0,0.001,4,1,3,0,0,0,N/A,2,1,N/A,1.084,0.808,36948
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_2,valid,2,0.029,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.004,0,0.001,3,1,3,1,0,0,N/A,1,2,N/A,0.813,0.863,41244
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_2_e1_834_e2_3395,valid,2,0.026,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.004,0,0.001,3,1,3,1,0,0,N/A,1,2,N/A,0.813,0.902,41044
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_3,valid,2,0.032,1,13,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.006,0.001,0.001,5,2,5,0,0,0,N/A,2,2,N/A,1.076,1,41072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_4,valid,2,0.041,2,17,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.005,0.001,0.002,9,5,8,1,0,0,N/A,4,3,N/A,0.739,0.615,39060
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_4_e7_2651_e7_2847,valid,2,0.042,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.004,0.001,0.002,9,5,8,2,0,0,N/A,4,3,N/A,0.739,0.615,39036
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_5,valid,2,0.025,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.003,0.001,0.001,4,2,3,0,0,0,N/A,2,1,N/A,0.649,0.391,38988
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/ILLINOIS_5_e7_692_e7_2865,valid,2,0.022,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.649,0.391,39028
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_1,valid,2,0.019,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,4,3,4,1,0,0,N/A,2,1,N/A,0.783,0.359,32344
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_2,valid,2,0.017,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.647,0.39,32256
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_all,valid,2,0.028,2,14,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0,0.001,8,5,7,2,0,0,N/A,4,2,N/A,0.964,0.537,32092
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447,invalid,2,0.037,2 1,25,0,0,0,N/A,N/A,N/A,N/A,N/A,0.008,0.006,0.001,0.004,8,4,8,2,0,0,N/A,3,2,N/A,0.935,0.674,32812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447_e3_1180,valid,2,0.024,2,14,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.003,0.001,0.001,8,4,6,2,0,0,N/A,3,2,N/A,0.935,0.674,32232
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i3_e1_447_e7_2194,invalid,2,0.032,2 1,23,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.005,0.001,0.004,5,2,6,1,0,0,N/A,2,2,N/A,0.74,0.674,32520
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4,invalid,2,0.138,12 6,126,0,0,0,N/A,N/A,N/A,N/A,N/A,0.059,0.022,0.003,0.008,124,110,125,29,0,0,N/A,19,8,N/A,2.899,1.327,33384
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4_e4_1689,invalid,2,0.065,4 2,54,0,0,0,N/A,N/A,N/A,N/A,N/A,0.02,0.009,0.001,0.007,28,22,30,2,0,0,N/A,5,5,N/A,1.314,1.05,33072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4_e8_1381_e1_1837,invalid,2,0.146,9 3,125,0,0,0,N/A,N/A,N/A,N/A,N/A,0.064,0.023,0.003,0.008,122,99,115,29,0,0,N/A,15,8,N/A,2.647,1.393,34332
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MESI_i4_e8_1381_e4_313,invalid,2,0.145,9 3,125,0,0,0,N/A,N/A,N/A,N/A,N/A,0.063,0.022,0.003,0.009,122,99,115,29,0,0,N/A,15,8,N/A,2.644,1.393,34272
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_1,valid,2,0.019,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,0,0,0,N/A,2,1,N/A,0.681,0.419,31992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_1_e2_982_e7_492,valid,2,0.024,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0,0.001,9,5,8,2,0,0,N/A,4,3,N/A,0.836,0.607,32156
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_1_e3_1884_e7_1875,valid,2,0.024,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.003,0,0.001,9,5,8,2,0,0,N/A,4,3,N/A,0.836,0.607,32048
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2,valid,2,0.021,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.911,0.911,31868
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e1_1753,valid,2,0.017,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.908,0.908,31756
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e2_155,valid,2,0.018,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.911,0.911,33432
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e2_1599_e8_1334,valid,2,0.019,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.908,0.908,32040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929,valid,2,0.017,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.911,0.911,31836
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e4_578,valid,2,0.018,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.908,0.908,31924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e5_1826,valid,2,0.019,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.911,0.911,32036
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e6_2707,valid,2,0.017,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.911,0.911,31928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e3_929_e8_1167,valid,2,0.017,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.908,0.908,31932
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e8_101,valid,2,0.017,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.908,0.908,31844
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e8_926_e1_1065,valid,2,0.017,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.911,0.911,31888
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_2_e8_926_e8_2138,valid,2,0.018,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.911,0.911,31788
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/MOESI_all,valid,2,0.03,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.008,0.004,0,0.001,10,5,9,1,0,0,N/A,5,4,N/A,1.429,1.203,32728
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_1,valid,2,0.016,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,0,0,0,N/A,2,1,N/A,0.685,0.427,32396
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123,valid,2,0.031,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.005,0.001,0.002,9,3,7,0,0,0,N/A,5,3,N/A,1.235,0.968,33072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e7_837_e7_1262,valid,2,0.031,3,18,0,0,0,N/A,N/A,N/A,N/A,N/A,0.01,0.004,0.001,0.001,9,3,7,2,0,0,N/A,5,3,N/A,1.235,0.968,32556
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e7_856,valid,2,0.024,3,14,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.003,0.001,0.001,4,1,4,0,0,0,N/A,3,3,N/A,1.03,0.968,33400
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e8_953,valid,2,0.031,3,18,0,0,0,N/A,N/A,N/A,N/A,N/A,0.008,0.004,0.001,0.001,9,3,7,2,0,0,N/A,5,3,N/A,1.235,0.968,33024
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e8_953_e7_1465,valid,2,0.024,3,13,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.003,0,0.001,3,0,3,0,0,0,N/A,3,3,N/A,1.032,0.97,33240
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_123_e8_953_e8_941,valid,2,0.027,3,18,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0.001,0.001,9,3,7,2,0,0,N/A,4,3,N/A,1.225,0.968,33184
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2,valid,2,0.017,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0.001,0,3,1,3,1,0,0,N/A,1,2,N/A,0.701,0.79,32192
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2_e8_1118_e7_1043,valid,2,0.015,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.002,0.001,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.701,0.701,32136
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2_e8_1118_e8_1177,valid,2,0.016,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0.001,0,3,1,3,1,0,0,N/A,1,2,N/A,0.701,0.79,32236
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_2_e8_656,valid,2,0.015,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.001,0,0,1,0,1,0,0,0,N/A,1,1,N/A,0.701,0.701,32232
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3,valid,2,0.016,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,3,1,3,0,0,0,N/A,2,1,N/A,0.979,0.71,32044
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e7_1444_e7_638,valid,2,0.015,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,3,1,3,1,0,0,N/A,2,1,N/A,0.972,0.703,32232
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e7_425,valid,2,0.016,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,3,1,3,1,0,0,N/A,2,1,N/A,0.972,0.703,32096
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e8_1329_e7_1062,valid,2,0.015,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,3,1,3,1,0,0,N/A,2,1,N/A,0.979,0.71,32068
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e8_1329_e8_320,valid,2,0.015,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,3,1,3,1,0,0,N/A,2,1,N/A,0.972,0.703,32168
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_3_e8_1708,valid,2,0.018,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0,3,1,3,1,0,0,N/A,2,1,N/A,0.972,0.703,32012
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4,valid,2,0.018,1,12,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,5,3,5,0,0,0,N/A,2,2,N/A,0.77,0.511,32360
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4_e8_420_e7_572,valid,2,0.017,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,5,3,5,1,0,0,N/A,2,2,N/A,0.77,0.511,32376
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4_e8_420_e8_1525,valid,2,0.016,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,5,3,5,1,0,0,N/A,2,2,N/A,0.77,0.511,32328
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_4_e8_974,valid,2,0.015,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.001,0,0,5,3,5,1,0,0,N/A,2,2,N/A,0.77,0.511,32272
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6,valid,2,0.027,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0.001,0.002,9,3,7,0,0,0,N/A,4,4,N/A,1.145,0.928,32796
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6_e7_938_e2_1012,valid,2,0.027,3,18,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0.001,0.001,7,2,6,0,0,0,N/A,3,4,N/A,1.022,1.004,32288
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_6_e8_1147_e2_1326,valid,2,0.028,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.004,0.001,0.001,11,5,9,2,0,0,N/A,4,4,N/A,1.217,1.004,32252
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all,valid,2,0.033,4,26,0,0,0,N/A,N/A,N/A,N/A,N/A,0.01,0.004,0.001,0.002,14,7,12,1,0,0,N/A,6,5,N/A,1.356,1.08,32840
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all_e7_907,valid,2,0.032,4,24,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.004,0.001,0.002,13,6,11,2,0,0,N/A,6,5,N/A,1.356,1.08,32748
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all_e7_907_e7_1363,valid,2,0.034,4,25,0,0,0,N/A,N/A,N/A,N/A,N/A,0.01,0.005,0.001,0.002,14,6,12,3,0,0,N/A,7,5,N/A,1.367,1.08,32948
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory2/SYNAPSE_all_e8_251,valid,2,0.036,4,25,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.005,0.001,0.002,14,6,12,3,0,0,N/A,7,5,N/A,1.367,1.08,32812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/_6counters_e8_371_e2_80,valid,2,0.009,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,31040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/misc/durationThm_1_e2_3,valid,2,0.023,1,13,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.002,0,0.001,6,1,4,1,0,0,N/A,2,2,N/A,0.918,0.854,32516
