Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_ind_length,ul_ind_length,ul_init_length,sml_ind_mem,ul_ind_mem,ul_init_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave33,invalid,2,1.255,0,75,0,0,0,0,0,0.001,0,0,0.085,0.274,0.002,0.032,98,58,76,5,57,45,8,12,13,14.098,2.128,1.994,5,10.604,29,20,0,91064
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave34,invalid,2,2.131,0,86,0,0,0,0,0,0,0,0,0.086,0.883,0.002,0.038,117,70,90,19,54,34,8,19,13,14.985,2.806,2.235,6,11.627,37,26,0,92892
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave35,invalid,2,2.998,0,116,0,0,0.001,0,0,0.001,0,0,0.129,1.521,0.004,0.046,203,141,164,51,91,53,11,28,15,19.293,3.604,2.479,7,13.865,51,38,0,92940
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave37,invalid,2,1.354,0,96,0,0,0,0,0,0,0,0,0.097,0.224,0.003,0.035,133,70,93,38,35,15,7,24,16,13.176,3.475,2.803,8,13.911,51,37,0.001,90984
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave38,invalid,2,1.963,0,94,0,0,0,0,0,0.001,0,0,0.13,0.537,0.003,0.041,138,77,96,22,55,35,6,20,15,12.998,3.335,2.648,6,11.997,48,39,0,93036
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave39,invalid,2,1.944,0,110,0,0,0,0,0,0,0,0,0.126,0.494,0.004,0.037,147,78,101,33,46,15,5,28,18,11.478,3.992,3.039,5,11.326,57,45,0,95252
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave40,invalid,2,0.025,0,5,0,0,0,0,0,0,0,0,0.005,0.003,0,0.001,0,0,0,0,0,0,0,0,0,0.021,0.021,0.021,0,0.021,0,0,0,88856
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr1,valid,2,0.152,0,4,0,0,0,0,0,0,0,0,0.006,0.036,0,0,0,0,0,0,0,0,0,0,0,0.021,0.021,0.021,0,0.021,0,0,0,187584
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384,valid,2,0.102,0,4,0,0,0,0,0,0,0,0,0.004,0.025,0,0,0,0,0,0,0,0,0,0,0,0.021,0.021,0.021,0,0.021,0,0,0,189084
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1,valid,2,0.032,1,11,0,0,0,0,0,0,0,0,0.004,0.003,0,0.002,5,3,5,1,3,0,1,2,2,6.356,0.675,0.572,0,0.021,1,0,0,57776
