Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave40,invalid,2,0.02,0,5,0,0,0,0,0,0.005,0.003,0,0.001,0,0,0,0.021,0,0.021,0,0,0,88552
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr1,valid,2,0.095,0,4,0,0,0,0,0,0.004,0.027,0,0,0,0,0,0.021,0,0.021,0,0,0,185616
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384,valid,2,0.096,0,4,0,0,0,0,0,0.004,0.024,0,0,0,0,0,0.021,0,0.021,0,0,0,189740
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1,valid,2,0.032,1,14,0,0,0,0,0,0.004,0.003,0,0.002,0,0,0,0.021,1,6.22,4,0,0,57496
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501,valid,2,0.042,2,19,0,0,0,0,0,0.006,0.003,0,0.002,0,0,0,0.021,1,6.204,5,0,0,59564
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370,valid,2,0.03,1,14,0,0,0,0,0,0.004,0.003,0,0.002,0,0,0,0.021,1,6.328,4,0,0,59532
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888,valid,2,0.041,2,19,0,0,0,0,0,0.005,0.004,0,0.002,0,0,0,0.021,1,6.2,5,0,0,57764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_5070,valid,2,0.042,2,23,0,0,0,0,0,0.007,0.005,0,0.003,0,0,0,0.021,1,6.36,8,1,0,57564
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997,valid,2,0.045,2,23,0,0,0,0,0,0.008,0.004,0,0.002,0,0,0,0.021,1,6.426,8,1,0,57600
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409,valid,2,0.032,1,14,0,0,0,0,0,0.004,0.003,0,0.002,0,0,0,0.021,1,6.328,4,0,0,59844
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881,valid,2,0.043,2,19,0,0,0,0,0,0.006,0.004,0,0.002,0,0,0,0.021,1,6.204,5,0,0,57708
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162,invalid,2,0.28,14 8,155,0,0,0.001,0,0,0.063,0.031,0.002,0.034,54,30,8,19.853,1,7.157,74,8,0,59652
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998,invalid,2,0.732,19 7,632,0,0.002,0.008,0.005,0,0.234,0.111,0.003,0.084,320,163,29,51.747,1,8.817,371,11,0,59616
