Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e3_294_e3_47,invalid,2,0.377,9 0,223,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.189,0.056,0.003,0.021,178,155,178,3,0,0,N/A,14,12,N/A,2.357,2.106,34132
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_4_e2_968_e7_860,invalid,4,16.36,82 64 44 12,4465,0.001,0.001,0.624,N/A,N/A,N/A,N/A,N/A,8.614,3.471,0.021,1.019,4393,4273,4400,149,0,0,N/A,121,56,N/A,11.396,8.521,93780
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e3_294_e5_979,invalid,2,0.359,9 0,219,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.18,0.054,0.003,0.02,175,153,175,2,0,0,N/A,12,11,N/A,2.137,1.902,34236
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMER_vt,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159204
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_all_e8_856_e3_180,invalid,0,0.011,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0,0,31992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e3_112,invalid,5,7.216,92 80 66 43 18,2404,0,0.001,0.18,N/A,N/A,N/A,N/A,N/A,3.515,1.471,0.014,0.513,2887,2701,2810,684,0,0,N/A,98,35,N/A,8.436,5.502,92284
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_1_e1_846_e1_1317,valid,3,0.195,12 9,95,0,0,0,N/A,N/A,N/A,N/A,N/A,0.089,0.022,0.003,0.014,71,55,65,10,0,0,N/A,22,8,N/A,2.15,1.312,34248
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e1_1116_e1_556,invalid,8,6.025,41 33 27 24 22 20 14 7,2137,0.001,0.001,0.101,N/A,N/A,N/A,N/A,N/A,2.783,1.047,0.023,0.625,2847,2484,2584,991,0,0,N/A,122,39,N/A,11.601,6.184,57920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3,valid,3,0.033,2 1,24,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.004,0.001,0.002,13,9,11,3,0,0,N/A,3,2,N/A,1.019,0.625,32300
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_4_e1_917,valid,17,44.139,69 65 60 57 52 47 42 33 22 16 12 10 9 7 2 0,10548,0.006,0.032,1.344,N/A,N/A,N/A,N/A,N/A,12.397,9.635,0.101,13.061,13998,12254,12404,4550,0,0,N/A,502,47,N/A,29.588,6.977,160116
