Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_6,valid,6,1.926,23 21 18 13 7,625,0,0.001,0.092,0.034,0.104,0.152,1.16,0.004,0.095,277,143,18,26.104,1,5.66,339,21,0.003,87104
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e3_1600_e7_1607,invalid,0,0.017,,2,0,0,0,0,0,0.001,0.006,0,0.001,0,0,0,0,0,0,0,0,0,41248
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_3_e2_2236_e3_2657,invalid,1,0.078,1,20,0,0,0,0,0,0.006,0.026,0,0.004,0,0,0,0.021,0,0.021,3,0,0,34876
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_9_e7_1843_e2_1145,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e7_2017,invalid,1,0.085,0,16,0,0,0,0,0,0.006,0.023,0,0.006,0,0,0,0.021,1,6.459,3,0,0,57604
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e2_3460_e1_1455,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e1_5710,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_9,valid,2,0.19,2,23,0,0,0,0,0,0.006,0.145,0,0.003,0,0,0,0.021,2,6.023,8,1,0,38060
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e3_3846,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e3_4821_e2_1089,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e2_2785_e3_1744,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e7_3191_e1_1303,invalid,0,0.016,,2,0,0,0,0,0,0,0.005,0,0.001,0,0,0,0,0,0,0,0,0,39112
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e7_3162_e1_3998,invalid,2,3.307,7 2,104,0,0,0,0.002,0.001,0.049,2.974,0.001,0.054,7,1,5,13.508,3,10.009,37,9,0.004,75768
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_13_e7_2336_e2_1255,invalid,0,0.021,,2,0,0,0,0,0,0.001,0.007,0,0.001,0,0,0,0,0,0,0,0,0,57808
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_13,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
