Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave04,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave11,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave15,valid,2,0.021,0,4,0,0,0.005,0.007,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave31,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave12,invalid,1,0.766,5,49,23,0.017,0.024,0.036,0.001,0.009
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave28,invalid,1,1.628,3,39,19,0.108,0.023,0.907,0.001,0.011
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave38,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave22,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr2,valid,3,0.074,1 0,49,35,0.016,0.011,0.009,0,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr2_e8_21449_e5_18210,valid,3,0.074,1 0,49,35,0.015,0.011,0.009,0,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave20,invalid,0,0.046,N/A,2,0,0,0.005,0.03,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave27,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr2_e7_12307,valid,3,0.074,1 0,49,35,0.016,0.011,0.009,0,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave02,valid,2,0.02,0,4,0,0,0.005,0.006,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave26,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave29,valid,3,17.039,8 5,158,113,11.988,0.08,15.797,0.002,0.023
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave25,invalid,0,0.049,N/A,2,0,0,0.006,0.033,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr2_e1_17214_e5_18600,valid,3,0.069,1 0,49,35,0.015,0.011,0.008,0,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr2_e3_514_e4_11150,valid,3,0.072,1 0,49,35,0.015,0.011,0.009,0,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave09,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave14,invalid,1,0.564,3,33,13,0.011,0.017,0.031,0,0.008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr1,valid,2,0.277,0,4,0,0,0.004,0.213,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave34,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave01,valid,3,0.426,1 0,85,67,0.056,0.022,0.052,0,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave19,valid,3,3.639,6 3,138,99,2.787,0.06,3.153,0.001,0.015
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave05,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave32,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave36,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave10,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave17,valid,3,279.367,7 3,246,201,225.721,0.096,278.308,0.002,0.019
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave18,invalid,1,1.137,5,50,24,0.126,0.029,0.373,0.001,0.012
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave33,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr1_e4_23904_e4_2384,valid,2,0.111,0,4,0,0,0.003,0.05,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave40,invalid,0,0.046,N/A,2,0,0,0.005,0.031,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave08,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave16,valid,2,0.023,0,4,0,0,0.005,0.007,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave07,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave39,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave24,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave23,invalid,1,1.168,2,37,20,0.089,0.019,0.709,0.001,0.01
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/steam_boiler_no_arr2_e6_3003_e4_15091,valid,3,0.075,1 0,49,35,0.015,0.011,0.009,0,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave03,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave21,valid,3,247.913,11 8,285,217,152.121,0.182,245.826,0.004,0.049
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave06,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/large/microwave35,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_2_e2_63,valid,2,0.037,1,12,4,0.003,0.003,0.016,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/traffic,valid,2,0.028,2,22,11,0.005,0.005,0.004,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_1_e3_389,invalid,0,0.009,N/A,2,0,0,0.001,0.002,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/durationThm_3_e7_334,invalid,0,0.008,N/A,1,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ex8_e7_74_e8_302,invalid,0,0.008,N/A,2,0,0,0,0.001,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/ticket3i_7_e7_3176,valid,2,0.129,6,58,35,0.021,0.026,0.018,0.001,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/misc/_6countern,invalid,0,0.006,N/A,1,0,0,0,0,0,0
